""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"01DD-1573"	246268	218505	213855	206001	206001
"02HD-1644"	53847	26090	24654	23886	23886
"03HD-1876"	48234	32466	32155	25028	25028
"04DD-1876"	272843	207558	205764	185533	185533
"05HD-1572"	59942	30372	30190	18127	18127
"06HD-1860"	51135	23168	22108	21697	21697
"07DD-1860"	303743	122283	121187	110234	110234
"10HD-1692"	126876	44640	44224	34610	34610
"16HD-1681"	955	496	394	392	392
"22HD-1823"	25984	21392	20690	20418	20418
"23DD-1823"	326931	211102	210002	202433	202433
"24HD-1572"	2151	1198	1021	900	900
"25DD-1572"	7819	5973	5762	5643	5643
"26DD-1573"	171005	144187	143839	141188	141188
"27DD-1876"	89057	49201	48812	36330	36330
"28DD-1692"	6819	4182	3325	3259	3259
"29DD-1644"	68822	55929	53710	53113	53113
"30DD-1860"	359275	321393	318287	305090	305090
"32HD-1830"	3021	2463	2249	2236	2236
"33HD-1694"	17082	14516	14232	13872	13872
"36HD-1647"	5715	4166	3879	3315	3315
"37HD-1826"	1871	1169	1073	994	994
"38HD-1167"	15943	11323	10481	10332	10332
"39DD-1657"	256580	194076	192154	183040	183040
"40HD-1553"	20353	9620	9064	8887	8887
"41HD-1562"	3307	1852	1248	1091	1091
"42HD-2487"	13670	7761	7396	7103	7103
"43DD-2487"	4921	2678	2231	2186	2186
"45HD-1564"	3756	2802	2662	2592	2592
"46HD-1860"	21110	16230	16105	12487	12487
"47HD-1573"	7813	6181	5903	5703	5703
"48HD-1644"	22956	9156	8664	8310	8310
"49HD-1573"	3241	2493	2314	2280	2280
"51HD-1876"	4899	3076	2109	2082	2082
"52HD-1652"	55060	50893	50566	49386	49386
"54HD-1832"	21890	10561	10076	9899	9899
"55DD-1564"	151105	136649	134662	127507	127507
"62DD-1823"	159938	150194	148200	142799	142799
"64HD-2487"	16049	8502	6023	5668	5668
"66HD-1652"	85057	60747	55918	54745	54745
"67HD-1826"	4545	2985	2462	2366	2366
"68HD-1553"	6309	5280	5129	4941	4941
"69HD-1830"	123301	106043	105751	100118	100118
"70HD-1694"	5319	4399	4331	4295	4295
"71HD-1647"	31385	11164	10310	9932	9932
"73HD-1562"	4251	2076	1907	1785	1785
"74HD-2095"	57237	28092	26861	26478	26478
"75HD-1681"	15807	13471	12807	12436	12436
"76HD-1692"	4545	3452	3180	3142	3142
"77HD-1832"	32507	21607	20944	20760	20760
"87HD-1564"	22737	12663	12038	11991	11991
"88HD-1657"	71100	41560	40836	29799	29799
"89DD-1657"	38545	21916	21313	12247	12247
"90DD-1564"	174351	148008	145424	126326	126326
"Blank"	51054	46374	46258	45651	45651
