""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"83"	"Pseudoruegeria"	0	FALSE	FALSE	FALSE	FALSE
"84"	"Rhodobacteraceae"	0	FALSE	FALSE	FALSE	FALSE
"85"	"Rhodopirellula"	0	FALSE	FALSE	FALSE	FALSE
"86"	"Roseibacillus"	0	FALSE	FALSE	FALSE	FALSE
"87"	"Roseitalea"	0	FALSE	FALSE	FALSE	FALSE
"88"	"Rubripirellula"	0	FALSE	FALSE	FALSE	FALSE
"89"	"Rubritalea"	0	FALSE	FALSE	FALSE	FALSE
"90"	"Ruegeria"	0	FALSE	FALSE	FALSE	FALSE
"91"	"Sandaracinaceae"	0	FALSE	FALSE	FALSE	FALSE
"92"	"Saprospiraceae"	0	FALSE	FALSE	FALSE	FALSE
"93"	"SAR116.clade"	0	FALSE	FALSE	FALSE	FALSE
"94"	"SAR86.clade"	0	FALSE	FALSE	FALSE	FALSE
"95"	"Shimia"	0	FALSE	FALSE	FALSE	FALSE
"96"	"Sporichthyaceae"	0	FALSE	FALSE	FALSE	FALSE
"97"	"Staphylococcus"	0	FALSE	FALSE	FALSE	FALSE
"101"	"Synechococcus.PCC.7336"	0	FALSE	FALSE	FALSE	FALSE
"102"	"Thalassobius"	0	FALSE	FALSE	FALSE	FALSE
"103"	"Thalassotalea"	0	FALSE	FALSE	FALSE	FALSE
"104"	"UBA10353.marine.group"	0	FALSE	FALSE	FALSE	FALSE
"105"	"Unknown.Family"	0	FALSE	FALSE	FALSE	FALSE
"106"	"Urania.1B.19.marine.sediment.group"	0	FALSE	FALSE	FALSE	FALSE
"107"	"Vibrio"	0	FALSE	FALSE	FALSE	FALSE
"108"	"Woeseia"	0	FALSE	FALSE	FALSE	FALSE
"109"	"Xenococcus.PCC.7305"	0	FALSE	FALSE	FALSE	FALSE
