""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"BS2-2048-HD-J"	15542	4840	4546	4528	4528
"BS2-2065-HH-O"	1762	903	892	890	890
"BS2-2077-DD-O"	1504	481	467	466	466
"BS2-2077-HD-O"	2071	745	712	698	698
"BS2-2080-HD-O"	1609	596	584	582	582
"BS2-2179-HD-J"	25611	3555	3228	3139	3139
"BS2-2198-HD-O"	12857	9178	8900	8699	8699
"BS2-2433-DD-J"	61626	51015	50937	50605	50605
"BS2-2460-HD-O"	2393	359	331	314	314
"BS2-2478-DD-J"	33334	14809	14638	14400	14400
"BS2-2478-HD-O"	1470	230	213	196	196
"BS2-2483-HD-J"	11878	6763	6466	6431	6431
"BS2-2672-HH-J"	12776	1923	1735	1725	1725
"BS2-2675-HD-O"	2338	1278	1245	1163	1163
"BS2-2683-HH-O"	2820	1459	1411	1398	1398
