""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"blank-pb1"	1666	825	536	490	490
"blank-pb2"	617	200	156	123	123
"blank-pb3"	661	166	138	116	116
"BS3-2041-DD-A"	14446	13742	13332	12723	12723
"BS3-2041-DD-B"	24552	22775	22237	20979	20979
"BS3-2041-HD-A"	6703	4879	4342	4157	4157
"BS3-2041-HD-B"	14610	12745	12361	12005	12005
"BS3-2116-DD-A"	3005	2770	2584	2336	2336
"BS3-2264-DD-A"	5617	4396	3606	3097	3097
"BS3-2264-DD-B"	33388	31419	30749	29374	29374
"BS3-2264-HD-A"	2072	1521	1314	1153	1153
"BS3-2264-HD-B"	5552	3887	3369	3178	3178
"BS3-2265-DD-A"	1084	571	433	335	335
"BS3-2265-DD-B"	18410	15913	15366	14333	14333
"BS3-2265-HD-A"	944	415	329	300	300
"BS3-2265-HD-B"	3171	3087	2739	2529	2529
"BS3-2266-DD-A"	20092	16561	15441	12637	12637
"BS3-2266-DD-B"	47553	45129	43925	39784	39784
"BS3-2266-HD-A"	5353	3564	3355	3130	3130
"BS3-2266-HD-B"	8178	6091	5659	5269	5269
"BS3-2267-HH-A"	1150	980	958	931	931
"BS3-2267-HH-B"	3987	2601	2417	2201	2201
"BS3-2268-DD-A"	14415	11725	11264	10627	10627
"BS3-2268-DD-B"	22237	20682	20021	18468	18468
"BS3-2268-HD-A"	4525	3301	2768	2537	2537
"BS3-2268-HD-B"	5831	3473	2881	2705	2705
"BS3-2362-DD-B"	38553	36835	35309	30324	30324
"BS3-2362-HD-A"	5080	4226	3842	3525	3525
"BS3-2362-HD-B"	11276	10067	9693	9406	9406
"BS3-2363-DD-A"	8368	6838	6288	5724	5724
"BS3-2363-HD-A"	4170	2962	2574	1936	1936
"BS3-2363-HH-B"	4489	2994	2762	2553	2553
"BS3-2364-DD-A"	3198	2017	1860	1692	1692
"BS3-2364-DD-B"	49606	45360	44506	41757	41757
"BS3-2364-HD-A"	3007	2333	2052	1846	1846
"BS3-2364-HD-B"	19442	17958	17542	16361	16361
"BS3-2365-DD-A"	26682	25026	23826	20260	20260
"BS3-2365-DD-B"	5990	4156	3699	3313	3313
"BS3-2365-HD-A"	897	546	447	410	410
"BS3-2365-HD-B"	48532	45885	44031	36436	36436
"BS3-2366-DD-A"	5892	3712	3347	3178	3178
"BS3-2366-DD-B"	20917	19454	18599	16951	16951
"BS3-2366-HD-A"	18526	17163	16576	16163	16163
"BS3-2366-HD-B"	9058	7873	7461	7009	7009
"BS3-2429-DD-A"	7383	5999	5357	4922	4922
"BS3-2429-DD-B"	35651	33303	32774	30267	30267
"BS3-2429-HD-A"	9918	8788	8153	7633	7633
"BS3-2429-HD-B"	12203	10224	9987	8214	8214
"BS3-2451-DD-A"	2581	1972	1765	1515	1515
"BS3-2451-DD-B"	23549	21202	19970	17281	17281
"BS3-2451-HD-A"	5167	3964	3624	3306	3306
"BS3-2451-HD-B"	6386	5025	4443	4103	4103
"BS3-2503-HH-A"	28822	27201	26872	26132	26132
"BS3-2503-HH-B"	34328	32881	32658	31805	31805
"BS3-2504-HH-B"	14172	12720	12217	11591	11591
"BS3-2505-DD-B"	14642	13267	12468	10379	10379
"BS3-2505-HD-B"	5491	4012	3503	3305	3305
"BS3-2506-DD-A"	4103	2807	2465	2293	2293
"BS3-2506-DD-AA"	2137	1726	1616	1459	1459
"BS3-2506-DD-B"	7889	5461	4868	4540	4540
"BS3-2506-HD-A"	3291	2201	1937	1844	1844
"BS3-2506-HD-AA"	1611	1286	1076	1031	1031
"BS3-2506-HD-B"	6008	4513	4001	3751	3751
"BS3-2507-DD-A"	8842	6812	6547	6088	6088
"BS3-2507-DD-B"	36594	34241	33145	30199	30199
"BS3-2507-HD-A"	8191	7038	6653	6226	6226
"BS3-2507-HD-B"	9536	7888	7141	6807	6807
"BS3-2512-DD-A"	5642	4808	4421	3711	3711
"BS3-2512-HD-A"	2705	1810	1672	1557	1557
"BS3-2512-HH-B"	12864	12005	11466	11092	11092
"BS3-2513-DD-A"	22395	20735	19741	16876	16876
"BS3-2513-DD-B"	49947	47309	45718	38617	38617
"BS3-2513-HD-A"	8151	6463	5710	4729	4729
"BS3-2513-HD-B"	10898	9283	8750	8162	8162
"BS3-2516-DD-A"	3648	2965	2806	2544	2544
"BS3-2516-DD-B"	18195	17373	17113	16588	16588
"BS3-2516-HD-A"	7256	5497	4938	4570	4570
"BS3-2516-HD-B"	9667	7846	7480	6980	6980
"BS3-2517-HH-A"	5971	4255	3822	3365	3365
"BS3-2517-HH-B"	3832	2806	2686	2583	2583
"BS3-2549-DD-A"	13831	11992	11537	10719	10719
"BS3-2549-HD-A"	7992	6408	5967	5659	5659
"BS3-2549-HH-B"	22306	21019	20685	20098	20098
"BS3-2562-DD-A"	5715	4592	4107	3484	3484
"BS3-2564-HH-A"	5870	4151	3681	3473	3473
"BS3-2564-HH-B"	3748	2798	2524	2370	2370
"BS3-2565-HH-A"	6153	4127	3716	3503	3503
"BS3-2565-HH-B"	2053	1592	1501	1436	1436
"BS3-2568-DD-A"	15214	12274	11610	10475	10475
"BS3-2568-DD-B"	40309	37790	36404	31831	31831
"BS3-2568-HD-A"	9632	8265	7909	7665	7665
"BS3-2568-HD-B"	8041	6822	6504	6062	6062
"BS3-2569-DD-A"	13078	11829	11412	10546	10546
"BS3-2569-DD-B"	14163	12703	11927	10580	10580
"BS3-2569-HD-A"	3267	2715	2484	2234	2234
"BS3-2569-HD-B"	3066	1944	1706	1564	1564
"BS3-2581-DD-B"	19834	18538	17567	14841	14841
"BS3-2581-HD-A"	11429	9459	8813	7928	7928
"BS3-2581-HD-B"	8537	6209	5511	5239	5239
"BS3-2615-H-A"	7306	5947	5197	4733	4733
"BS3-2615-H-B"	4775	4032	3476	3339	3339
"BS3-2628-H-A"	7521	4843	4609	4170	4170
"BS3-2628-H-B"	5429	4038	3635	3391	3391
"BS3-2629-DD-A"	5969	5414	4906	4133	4133
"BS3-2629-DD-B"	49097	46164	45558	43456	43456
"BS3-2629-HD-A"	1068	828	711	641	641
"BS3-2629-HD-B"	27708	26043	25674	24715	24715
"BS3-2631-H-A"	31503	28792	28158	26458	26458
"BS3-2631-H-B"	25623	23742	23362	22640	22640
"BS3-2634-DD-A"	3337	2518	2225	2024	2024
"BS3-2634-DD-B"	40627	38427	36529	29280	29280
"BS3-2634-HD-A"	4597	3238	2702	2556	2556
"BS3-2634-HD-B"	6011	4439	3895	3698	3698
"BS3-2635-DD-A"	7018	6701	5781	4461	4461
"BS3-2635-DD-B"	18399	16886	15980	13927	13927
"BS3-2635-HD-A"	3716	2658	2533	2405	2405
"BS3-2635-HD-B"	10229	6840	6110	5759	5759
"BS3-2688-DD-A"	30919	29209	27756	23100	23100
"BS3-2688-DD-B"	21241	19852	19258	17514	17514
"BS3-2688-HD-A"	11502	9651	8689	7493	7493
"BS3-2688-HD-B"	27575	25476	24567	22328	22328
"BS3-2697-H-A"	4540	2578	2183	2008	2008
"BS3-2697-H-B"	7189	5909	5197	4883	4883
"BS3-2698-H-A"	6665	4144	3577	3269	3269
"BS3-2698-H-B"	38229	36792	36552	36065	36065
"BS3-2753-DD-A"	35680	33425	32481	28698	28698
"BS3-2753-DD-B"	54771	52025	50274	41982	41982
"BS3-2753-HD-A"	10182	8366	7765	7249	7249
"BS3-2753-HD-B"	15255	14048	13652	13069	13069
"BS3-2769-DD-A"	41591	35344	34711	31982	31982
"BS3-2769-H-B"	14497	12425	11810	11121	11121
"BS3-2769-HD-A"	5161	3490	3124	2935	2935
"BS3-2799-DD-A"	45730	43887	43120	39654	39654
"BS3-2799-DD-B"	42071	39656	39188	37237	37237
"BS3-2799-HD-A"	35086	34268	33905	32590	32590
"BS3-2799-HD-B"	3157	2333	2008	1846	1846
"BS3-2832-H-B"	8267	6265	5829	5512	5512
"BS3-2832-HH-A"	5179	3179	3151	3105	3105
"BS3-2848-HH-A"	3255	1973	1725	1562	1562
"BS3-2880-DD-A"	21493	19356	17754	13735	13735
"BS3-2880-HD-A"	6733	5242	4754	4464	4464
"BS3-2896-HH-A"	5582	4356	3808	3573	3573
"BS3-2897-HH-A"	8143	3791	3680	3616	3616
"BS3-2899-HH-A"	5217	3867	3411	3226	3226
